######################### Start train #########################
Tot_step: 649915 	 | Episode: 900  	 | Time: 929.25 	 | Reward : 2022.499 	 | actor_loss : -134.488 	 | critic_loss : 9.086
Tot_step: 669915 	 | Episode: 920  	 | Time: 1000.00 	 | Reward : 2231.592 	 | actor_loss : -137.178 	 | critic_loss : 9.071
Tot_step: 689573 	 | Episode: 940  	 | Time: 982.90 	 | Reward : 2242.758 	 | actor_loss : -140.146 	 | critic_loss : 9.098
Tot_step: 708493 	 | Episode: 960  	 | Time: 946.00 	 | Reward : 2168.578 	 | actor_loss : -142.649 	 | critic_loss : 9.182
Tot_step: 727626 	 | Episode: 980  	 | Time: 956.65 	 | Reward : 2198.415 	 | actor_loss : -144.939 	 | critic_loss : 9.181
Tot_step: 747626 	 | Episode: 1000 	 | Time: 1000.00 	 | Reward : 2330.549 	 | actor_loss : -147.637 	 | critic_loss : 9.117
Tot_step: 766215 	 | Episode: 1020 	 | Time: 929.45 	 | Reward : 2159.648 	 | actor_loss : -150.208 	 | critic_loss : 9.105
Tot_step: 786215 	 | Episode: 1040 	 | Time: 1000.00 	 | Reward : 2339.604 	 | actor_loss : -152.091 	 | critic_loss : 9.252
Tot_step: 805387 	 | Episode: 1060 	 | Time: 958.60 	 | Reward : 2230.000 	 | actor_loss : -153.727 	 | critic_loss : 9.166
Tot_step: 825387 	 | Episode: 1080 	 | Time: 1000.00 	 | Reward : 2413.665 	 | actor_loss : -155.438 	 | critic_loss : 9.109
Tot_step: 845387 	 | Episode: 1100 	 | Time: 1000.00 	 | Reward : 2389.933 	 | actor_loss : -157.248 	 | critic_loss : 9.235
Tot_step: 865387 	 | Episode: 1120 	 | Time: 1000.00 	 | Reward : 2430.121 	 | actor_loss : -159.047 	 | critic_loss : 9.228
Tot_step: 884611 	 | Episode: 1140 	 | Time: 961.20 	 | Reward : 2330.592 	 | actor_loss : -160.931 	 | critic_loss : 9.104
Tot_step: 904611 	 | Episode: 1160 	 | Time: 1000.00 	 | Reward : 2286.976 	 | actor_loss : -162.553 	 | critic_loss : 9.210
Tot_step: 922307 	 | Episode: 1180 	 | Time: 884.80 	 | Reward : 2174.663 	 | actor_loss : -163.581 	 | critic_loss : 9.286
Tot_step: 941326 	 | Episode: 1200 	 | Time: 950.95 	 | Reward : 2317.024 	 | actor_loss : -165.026 	 | critic_loss : 9.407
Tot_step: 961326 	 | Episode: 1220 	 | Time: 1000.00 	 | Reward : 2447.336 	 | actor_loss : -166.214 	 | critic_loss : 9.431
Tot_step: 981066 	 | Episode: 1240 	 | Time: 987.00 	 | Reward : 2431.741 	 | actor_loss : -167.888 	 | critic_loss : 9.336
Tot_step: 1000331 	 | Episode: 1260 	 | Time: 963.25 	 | Reward : 2378.140 	 | actor_loss : -169.589 	 | critic_loss : 9.370
Tot_step: 1019049 	 | Episode: 1280 	 | Time: 935.90 	 | Reward : 2103.135 	 | actor_loss : -171.734 	 | critic_loss : 8.967
Tot_step: 1039049 	 | Episode: 1300 	 | Time: 1000.00 	 | Reward : 2513.946 	 | actor_loss : -174.715 	 | critic_loss : 8.619
Tot_step: 1057362 	 | Episode: 1320 	 | Time: 915.65 	 | Reward : 2334.092 	 | actor_loss : -178.588 	 | critic_loss : 8.103
Tot_step: 1074889 	 | Episode: 1340 	 | Time: 876.35 	 | Reward : 2246.719 	 | actor_loss : -182.592 	 | critic_loss : 7.745
Tot_step: 1091318 	 | Episode: 1360 	 | Time: 821.45 	 | Reward : 2112.066 	 | actor_loss : -186.987 	 | critic_loss : 7.501
