######################### Start train #########################
Tot_step: 599471 	 | Episode: 880 	 | Reward : 2399.426188456464 	 | actor_loss : -158.4235936619698 	 | critic_loss : 14.495829453367275
Tot_step: 617211 	 | Episode: 900 	 | Reward : 2001.7273315564148 	 | actor_loss : -160.66486646827428 	 | critic_loss : 14.503446798618842
Tot_step: 635317 	 | Episode: 920 	 | Reward : 2162.561609827716 	 | actor_loss : -162.5852961699405 	 | critic_loss : 14.489327488250387
Tot_step: 652799 	 | Episode: 940 	 | Reward : 2036.5395825784822 	 | actor_loss : -163.70475378732243 	 | critic_loss : 14.714791210002819
Tot_step: 670390 	 | Episode: 960 	 | Reward : 1874.007835552565 	 | actor_loss : -164.93114031339366 	 | critic_loss : 15.114631444774805
Tot_step: 686775 	 | Episode: 980 	 | Reward : 1930.6641741370568 	 | actor_loss : -165.9874603004003 	 | critic_loss : 15.355222994005544
Tot_step: 702582 	 | Episode: 1000 	 | Reward : 1978.2928034608478 	 | actor_loss : -166.805440485161 	 | critic_loss : 15.891102166218953
Tot_step: 719805 	 | Episode: 1020 	 | Reward : 2185.231587401591 	 | actor_loss : -168.35305241922603 	 | critic_loss : 15.889052642380744
Tot_step: 736883 	 | Episode: 1040 	 | Reward : 2299.3587190544777 	 | actor_loss : -170.72702941808976 	 | critic_loss : 15.752468807571029
Tot_step: 755448 	 | Episode: 1060 	 | Reward : 2292.6914600370683 	 | actor_loss : -172.9972765145877 	 | critic_loss : 15.96067776549275
Tot_step: 771510 	 | Episode: 1080 	 | Reward : 2025.226030350333 	 | actor_loss : -174.9437150568452 	 | critic_loss : 16.495464728062412
Tot_step: 787999 	 | Episode: 1100 	 | Reward : 2084.564595450166 	 | actor_loss : -176.41727740162466 	 | critic_loss : 16.771296045536648
Tot_step: 804428 	 | Episode: 1120 	 | Reward : 2118.091018522828 	 | actor_loss : -178.2477185363186 	 | critic_loss : 17.506811431186343
Tot_step: 822290 	 | Episode: 1140 	 | Reward : 2231.217019554327 	 | actor_loss : -179.80130512728795 	 | critic_loss : 17.65198729156834
Tot_step: 839688 	 | Episode: 1160 	 | Reward : 2249.661126251547 	 | actor_loss : -181.22539134851584 	 | critic_loss : 17.620220403123344
Tot_step: 857480 	 | Episode: 1180 	 | Reward : 2432.364547128726 	 | actor_loss : -183.21990385626972 	 | critic_loss : 17.630704028004764
Tot_step: 875408 	 | Episode: 1200 	 | Reward : 2331.6489848198016 	 | actor_loss : -184.79696747671437 	 | critic_loss : 17.8992552102198
Tot_step: 892427 	 | Episode: 1220 	 | Reward : 2167.323135757616 	 | actor_loss : -186.42610532668223 	 | critic_loss : 18.22142306123621
Tot_step: 909680 	 | Episode: 1240 	 | Reward : 2441.516622138746 	 | actor_loss : -187.75145261767437 	 | critic_loss : 18.67845932439031
Tot_step: 927921 	 | Episode: 1260 	 | Reward : 2548.5246835576163 	 | actor_loss : -189.53857477252637 	 | critic_loss : 19.187198745232187
Tot_step: 945577 	 | Episode: 1280 	 | Reward : 2593.0731068557734 	 | actor_loss : -191.2972384895789 	 | critic_loss : 19.05588742467997
Tot_step: 961212 	 | Episode: 1300 	 | Reward : 2239.235694187659 	 | actor_loss : -193.11253557203838 	 | critic_loss : 19.636442180625913
Tot_step: 977239 	 | Episode: 1320 	 | Reward : 2374.4695415563137 	 | actor_loss : -194.47370390632625 	 | critic_loss : 19.811671025859734
Tot_step: 993432 	 | Episode: 1340 	 | Reward : 2288.5721717077095 	 | actor_loss : -196.1036665659034 	 | critic_loss : 20.084968688983714
Tot_step: 1012757 	 | Episode: 1360 	 | Reward : 2866.903472083887 	 | actor_loss : -197.9920529387254 	 | critic_loss : 20.51837866592407
Tot_step: 1030204 	 | Episode: 1380 	 | Reward : 2469.576459082531 	 | actor_loss : -202.00547574723663 	 | critic_loss : 20.11590428587116
Tot_step: 1049035 	 | Episode: 1400 	 | Reward : 2799.1614058385558 	 | actor_loss : -206.80995848662866 	 | critic_loss : 19.88278829732065
Tot_step: 1066109 	 | Episode: 1420 	 | Reward : 2564.9463380387606 	 | actor_loss : -211.25988237850203 	 | critic_loss : 19.815073011200703
Tot_step: 1082972 	 | Episode: 1440 	 | Reward : 2723.0487086572475 	 | actor_loss : -214.8517735155126 	 | critic_loss : 19.7600413131821
Tot_step: 1099696 	 | Episode: 1460 	 | Reward : 2654.7775355632484 	 | actor_loss : -218.63548149388598 	 | critic_loss : 20.261162387519946
Tot_step: 1113814 	 | Episode: 1480 	 | Reward : 2104.8905697735377 	 | actor_loss : -221.98804905967964 	 | critic_loss : 21.454753899757158
Tot_step: 1131514 	 | Episode: 1500 	 | Reward : 2662.7798429171394 	 | actor_loss : -224.60327603721333 	 | critic_loss : 20.973977928186784
